pk,round,total_earned,round_times,team_member,len_description,admin_profile_followers,admin_profile_following,admin_position,admin_grants_contributed,stars,commits,issues,comments,tweet_count,count_likes,count_comments,count_retweet
1592,11,19155.27,4,2,456,10649,10672,91,6,0,0,0,0,2,98,7,26
1592,10,21178.95,3,2,456,10649,10672,91,6,0,0,0,0,2,328,83,57
1592,9,7614.55,2,2,456,10649,10672,91,6,46,57,6,129,3,309,24,39
1592,8,154414.45,1,2,456,10649,10672,91,6,30,120,8,84,2,28,0,7
337,12,50776.68,7,2,2459,10752,10730,312,67,0,0,0,0,0,0,0,0
337,11,9856.43,6,2,2459,10752,10730,312,67,0,0,0,0,1,3,1,1
337,10,12886.87,5,2,2459,10752,10730,312,67,0,0,0,0,0,0,0,0
337,9,12185.65,4,2,2459,10752,10730,312,67,0,0,0,0,2,3,0,2
337,8,5620.65,3,2,2459,10752,10730,312,67,0,3,0,0,0,0,0,0
337,7,1380.72,2,2,2459,10752,10730,312,67,0,0,0,0,0,0,0,0
337,6,0.08,1,2,2459,10752,10730,312,67,0,0,0,0,0,0,0,0
2323,12,180574.64,4,3,3645,24478,24487,97,43,0,0,0,0,9,696,101,440
2323,11,97934.07,3,3,3645,24478,24487,97,43,15,2,0,2,0,0,0,0
2323,10,41943.51,2,3,3645,24478,24487,97,43,25,56,1,57,46,787,69,82
2323,9,17369.47,1,3,3645,24478,24487,97,43,8,0,0,0,12,295,31,45
4019,12,71747.35,1,1,23793,11613,11651,16,2,0,135,0,0,6,30,3,12
821,12,80342.05,7,2,6889,20755,20710,18,142,0,0,0,0,12,357,29,88
821,11,38557.53,6,2,6889,20755,20710,18,142,0,0,0,0,2,70,2,19
821,10,18003.53,5,2,6889,20755,20710,18,142,0,0,0,0,10,88,6,19
821,9,22730.57,4,2,6889,20755,20710,18,142,0,0,0,0,13,62,10,17
821,8,3814.98,3,2,6889,20755,20710,18,142,1,16,0,24,5,18,1,3
821,7,4333,2,2,6889,20755,20710,18,142,2,8,0,10,4,40,8,10
821,6,2400.79,1,2,6889,20755,20710,18,142,10,0,1,3,9,165,8,44
3133,12,91301.78,3,,,,,,,8,75,0,34,53,2665,307,395
3133,11,57347.62,2,,,,,,,3,390,0,3,53,14243,1730,2107
3133,10,3453.55,1,,,,,,,1,554,0,2,5,52,3,23
490,12,98819.58,8,1,3337,25062,25020,54,86,0,0,0,0,27,3975,447,1018
490,11,69417.78,7,1,3337,25062,25020,54,86,0,0,0,0,59,3115,412,481
490,10,58214.3,6,1,3337,25062,25020,54,86,0,0,0,0,17,645,60,129
490,9,46686.34,5,1,3337,25062,25020,54,86,0,0,0,0,10,186,15,28
490,8,10108.34,4,1,3337,25062,25020,54,86,0,0,0,0,7,67,6,5
490,7,11254.21,3,1,3337,25062,25020,54,86,0,4,0,0,15,486,24,101
490,6,3160.85,2,1,3337,25062,25020,54,86,0,35,0,1,6,34,2,8
490,5,6148.32,1,1,3337,25062,25020,54,86,0,3,0,0,11,136,9,35
1080,12,46985.5,4,1,2699,1761,1773,222,296,0,0,0,0,38,927,106,233
1080,11,65.29,3,1,2699,1761,1773,222,296,1,102,0,0,16,263,13,24
1080,10,112.16,2,1,2699,1761,1773,222,296,1,238,0,2,4,224,15,53
1080,9,173.37,1,1,2699,1761,1773,222,296,0,0,0,0,8,56,47,10
3335,12,35256.44,2,1,5434,,,325,,1,0,0,0,5,1656,69,256
3335,11,15548.58,1,1,5434,,,325,,0,0,0,0,3,72,19,16
1403,12,47924.82,4,3,5656,13433,13432,86,113,0,0,0,0,7,25,3,4
1403,11,19329.74,3,3,5656,13433,13432,86,113,0,57,0,3,5,7,3,3
1403,10,14219.42,2,3,5656,13433,13432,86,113,1,56,0,5,27,325,40,69
1403,9,8241.31,1,3,5656,13433,13432,86,113,2,46,0,8,14,153,6,42
4165,12,37821.9,1,,,,,,,9,0,0,0,3,263,14,49
191,12,31719.37,9,3,3476,15453,15423,61,86,0,0,0,0,15,258,22,49
191,11,18542.85,8,3,3476,15453,15423,61,86,0,0,0,0,18,982,199,319
191,10,47951.92,7,3,3476,15453,15423,61,86,0,0,0,0,8,57,2,37
191,9,17238.27,6,3,3476,15453,15423,61,86,0,0,0,0,17,461,18,175
191,8,9956.68,5,3,3476,15453,15423,61,86,0,0,0,0,13,137,7,47
191,7,35231.51,4,3,3476,15453,15423,61,86,0,0,0,0,36,1529,129,364
191,6,1392.16,3,3,3476,15453,15423,61,86,3,97,3,51,19,239,6,73
191,5,815.42,2,3,3476,15453,15423,61,86,1,88,2,15,18,232,20,65
191,4,1535.27,1,3,3476,15453,15423,61,86,1,33,0,2,7,125,21,35
3930,12,19759.06,1,2,7839,385,382,0,21,0,2,0,0,52,173,31,11
1809,12,33372.4,5,1,1209,8364,8369,9,55,0,0,0,0,16,333,33,68
1809,11,13760.45,4,1,1209,8364,8369,9,55,0,0,0,0,24,289,30,39
1809,10,3244.53,3,1,1209,8364,8369,9,55,0,0,0,0,12,213,31,19
1809,9,24595.55,2,1,1209,8364,8369,9,55,34,226,0,11,30,847,94,116
1809,8,8213.36,1,1,1209,8364,8369,9,55,2,13,0,0,16,143,15,41
2916,12,27756.77,3,,,,,,,4,238,3,102,49,3033,582,547
2916,11,9706.13,2,,,,,,,4,197,5,77,61,2065,124,549
2916,10,2002.01,1,,,,,,,8,69,1,25,61,1867,181,372
3386,12,28073.06,2,3,2528,5045,5054,198,0,1,25,0,22,46,1711,141,484
3386,11,11218.48,1,3,2528,5045,5054,198,0,0,0,0,0,27,143,22,68
3012,12,22376.78,3,2,2052,4938,4956,768,2,1,17,1,14,0,0,0,0
3012,11,6938.24,2,2,2052,4938,4956,768,2,0,8,0,0,1,0,0,0
3012,10,16.47,1,2,2052,4938,4956,768,2,0,41,0,1,1,1,2,0
13,12,37314.26,12,1,1616,13211,13239,34,149,0,0,0,0,28,632,82,116
13,11,13186.37,11,1,1616,13211,13239,34,149,0,0,0,0,29,2328,75,1664
13,10,49137.45,10,1,1616,13211,13239,34,149,0,0,0,0,37,404,36,55
13,9,21223.5,9,1,1616,13211,13239,34,149,0,0,0,0,14,126,11,3
13,8,24791.6,8,1,1616,13211,13239,34,149,0,0,0,0,33,238,38,37
13,7,6209.48,7,1,1616,13211,13239,34,149,0,0,0,0,9,66,8,10
13,6,4297.01,6,1,1616,13211,13239,34,149,0,0,0,0,33,67,29,9
13,5,2742.39,5,1,1616,13211,13239,34,149,0,0,0,0,13,109,11,19
13,4,3086,4,1,1616,13211,13239,34,149,0,0,0,0,10,40,13,8
13,3,7205.53,3,1,1616,13211,13239,34,149,0,0,0,0,14,104,15,6
13,2,3290.92,2,1,1616,13211,13239,34,149,26,1,0,88,6,14,6,1
13,1,3003.27,1,1,1616,13211,13239,34,149,20,18,1,82,13,52,7,9
3814,12,47713.56,1,,,,,,,0,1,0,0,2,13,2,2
25,12,30502.35,12,1,364,12136,12158,16,6,0,0,0,0,2,6,3,1
25,11,13652.53,11,1,364,12136,12158,16,6,0,0,0,0,8,283,19,59
25,10,52446.07,10,1,364,12136,12158,16,6,0,0,0,0,3,54,1,4
25,9,17564.72,9,1,364,12136,12158,16,6,0,0,0,0,5,111,4,27
25,8,37892.28,8,1,364,12136,12158,16,6,0,0,0,0,10,465,15,69
25,7,3214.91,7,1,364,12136,12158,16,6,0,0,0,0,4,41,1,7
25,6,4727.57,6,1,364,12136,12158,16,6,0,0,0,0,1,25,3,2
25,5,2242.98,5,1,364,12136,12158,16,6,0,0,0,0,0,0,0,0
25,4,3020.28,4,1,364,12136,12158,16,6,0,0,0,0,30,454,28,70
25,3,15160.45,3,1,364,12136,12158,16,6,0,0,0,0,10,726,26,145
25,2,4162,2,1,364,12136,12158,16,6,9,302,0,93,5,226,24,47
25,1,2105.16,1,1,364,12136,12158,16,6,6,128,0,83,21,341,46,84
24,12,27615.18,12,3,1008,14042,13972,38,14,0,0,0,0,1,41,4,9
24,11,20275.63,11,3,1008,14042,13972,38,14,0,0,0,0,0,0,0,0
24,10,54210.29,10,3,1008,14042,13972,38,14,0,0,0,0,1,30,1,6
24,9,29459.4,9,3,1008,14042,13972,38,14,0,0,0,0,0,0,0,0
24,8,41549.79,8,3,1008,14042,13972,38,14,0,0,0,0,3,180,1,39
24,7,5912.97,7,3,1008,14042,13972,38,14,0,0,0,0,1,73,1,22
24,6,7660,6,3,1008,14042,13972,38,14,0,0,0,0,0,0,0,0
24,5,3885.12,5,3,1008,14042,13972,38,14,0,0,0,0,1,82,1,19
24,4,7803.43,4,3,1008,14042,13972,38,14,0,0,0,0,0,0,0,0
24,3,14001.58,3,3,1008,14042,13972,38,14,0,0,0,0,0,0,0,0
24,2,9263,2,3,1008,14042,13972,38,14,35,106,0,350,1,261,7,74
24,1,5925.03,1,3,1008,14042,13972,38,14,17,80,0,216,0,0,0,0
972,12,19295.6,7,1,3255,6428,6451,147,54,0,0,0,0,23,587,219,68
972,11,13277.74,6,1,3255,6428,6451,147,54,0,0,0,0,48,397,35,42
972,10,6824.48,5,1,3255,6428,6451,147,54,0,0,0,0,13,132,11,19
972,9,4312.81,4,1,3255,6428,6451,147,54,0,0,0,0,53,302,52,62
972,8,10474.92,3,1,3255,6428,6451,147,54,9,10,0,7,21,161,18,27
972,7,215.08,2,1,3255,6428,6451,147,54,5,21,0,28,14,53,12,6
972,6,38.13,1,1,3255,6428,6451,147,54,4,35,0,8,9,107,12,18
2575,12,11914.36,3,1,733,6959,6979,32,49,0,0,0,0,0,0,0,0
2575,11,5643.38,2,1,733,6959,6979,32,49,0,0,0,0,15,63,10,10
2575,10,11146.3,1,1,733,6959,6979,32,49,0,0,0,0,8,336,34,120
2235,12,14652.46,4,2,1518,5229,5238,24,79,0,0,0,0,4,148,23,59
2235,11,8596.39,3,2,1518,5229,5238,24,79,0,0,0,0,1,3,0,0
2235,10,486.01,2,2,1518,5229,5238,24,79,0,26,2,8,7,11,1,2
2235,9,2722.85,1,2,1518,5229,5238,24,79,0,0,0,0,5,191,9,56
3059,12,40062.89,3,5,3397,2822,2837,148,24,0,0,0,0,13,1056,46,199
3059,11,5961.36,2,5,3397,2822,2837,148,24,1,0,0,0,8,231,14,64
3059,10,364.05,1,5,3397,2822,2837,148,24,0,0,0,0,1,31,2,10
329,12,16276.72,12,1,556,9555,9603,45,58,0,0,0,0,26,537,21,107
329,11,25707.03,11,1,556,9555,9603,45,58,0,0,0,0,12,96,4,17
329,10,4268.41,10,1,556,9555,9603,45,58,0,0,0,0,14,212,16,47
329,9,8337.15,9,1,556,9555,9603,45,58,0,0,0,0,23,317,12,87
329,8,5118.79,8,1,556,9555,9603,45,58,0,0,0,0,13,95,1,29
329,7,11431.8,7,1,556,9555,9603,45,58,0,0,0,0,12,81,6,24
329,6,1584.51,6,1,556,9555,9603,45,58,0,0,0,0,17,128,3,34
329,5,618.41,5,1,556,9555,9603,45,58,0,0,0,0,23,309,9,97
329,4,3392.7,4,1,556,9555,9603,45,58,0,0,0,0,30,309,19,47
329,3,448,3,1,556,9555,9603,45,58,0,0,0,0,11,538,173,93
329,2,677,2,1,556,9555,9603,45,58,0,0,0,0,26,374,12,120
329,1,474.3,1,1,556,9555,9603,45,58,0,0,0,0,5,21,0,6
2229,12,11486.32,4,4,1295,4432,4446,67,5,0,0,0,0,12,109,8,24
2229,11,54.74,3,4,1295,4432,4446,67,5,35,69,0,5,22,359,41,126
2229,10,1888.47,2,4,1295,4432,4446,67,5,7,85,0,6,12,152,14,58
2229,9,157.45,1,4,1295,4432,4446,67,5,1,271,0,24,13,854924,34341,106167
3595,12,11789.74,2,4,440,9555,9603,45,58,12,0,0,0,30,847,22,174
3595,11,152.9,1,4,440,9555,9603,45,58,9,0,1,24,2,89,2,26
2851,12,13659.2,3,1,475,9970,9946,120,39,240,19,1,16,30,475,86,71
2851,11,3976.87,2,1,475,9970,9946,120,39,298,34,4,63,86,7468,468,712
2851,10,8687.53,1,1,475,9970,9946,120,39,141,40,10,119,104,2416,196,446
137,12,28571.18,10,5,3196,9291,9275,43,2,0,0,0,0,21,221,30,46
137,11,14292.11,9,5,3196,9291,9275,43,2,0,0,0,0,7,344,25,49
137,10,12775.52,8,5,3196,9291,9275,43,2,0,0,0,0,18,316,8,87
137,9,16552.08,7,5,3196,9291,9275,43,2,0,0,0,0,23,345,30,91
137,8,49679.86,6,5,3196,9291,9275,43,2,0,0,0,0,24,1779,114,229
137,7,4128.78,5,5,3196,9291,9275,43,2,0,0,0,0,19,261,34,82
137,6,546.69,4,5,3196,9291,9275,43,2,0,0,0,0,5,284,9,84
137,5,242.1,3,5,3196,9291,9275,43,2,28,267,5,211,4,135,4,29
137,4,1500.85,2,5,3196,9291,9275,43,2,45,564,20,346,1,30,0,9
137,3,1794.43,1,5,3196,9291,9275,43,2,74,597,11,409,5,23,2,13
258,12,13546.58,9,6,1498,9833,9804,4,28,0,0,0,0,0,0,0,0
258,11,16163.71,8,6,1498,9833,9804,4,28,0,0,0,0,4,42,1,6
258,10,21399.41,7,6,1498,9833,9804,4,28,0,0,0,0,6,56,2,9
258,9,17426.85,6,6,1498,9833,9804,4,28,0,0,0,0,1,1,0,0
258,8,25324.44,5,6,1498,9833,9804,4,28,0,0,0,0,10,215,15,42
258,7,707.61,4,6,1498,9833,9804,4,28,0,0,0,0,4,18,2,5
258,6,392.09,3,6,1498,9833,9804,4,28,0,0,0,0,0,0,0,0
258,5,131.15,2,6,1498,9833,9804,4,28,0,0,0,0,0,0,0,0
258,4,108,1,6,1498,9833,9804,4,28,0,0,0,0,0,0,0,0
2743,12,6772.63,3,3,5921,7669,7680,241,46,2,9,0,0,0,0,0,0
2743,11,102.27,2,3,5921,7669,7680,241,46,3,21,0,0,11,42,8,11
2743,10,393.63,1,3,5921,7669,7680,241,46,5,27,0,0,35,98,34,16
4144,12,7096.67,1,1,1936,,,98,,1,14,2,0,13,68,0,43
143,12,10352,10,,,,,,,0,0,0,0,18,554,54,96
143,11,13435.24,9,,,,,,,0,0,0,0,5,88,5,22
143,10,36811.26,8,,,,,,,0,0,0,0,7,95,8,16
143,9,22956.82,7,,,,,,,0,0,0,0,3,6,1,0
143,8,30035.01,6,,,,,,,0,0,0,0,32,509,75,90
143,7,27268.04,5,,,,,,,0,0,0,0,20,209,44,60
143,6,7726.95,4,,,,,,,0,0,0,0,56,466,23,158
143,5,3932.46,3,,,,,,,0,37,0,0,20,119,13,47
143,4,11316.93,2,,,,,,,5,74,0,4,40,389,12,85
143,3,196.81,1,,,,,,,3,158,2,3,20,493,25,155
1110,12,5945.5,6,3,5158,9549,9571,74,52,0,0,0,0,30,470,60,155
1110,11,13100.36,5,3,5158,9549,9571,74,52,0,0,0,0,11,132,5,40
1110,10,14471.23,4,3,5158,9549,9571,74,52,0,0,0,0,47,1624,225,424
1110,9,4831.43,3,3,5158,9549,9571,74,52,2,2,0,0,43,4297,4831,2070
1110,8,1419.87,2,3,5158,9549,9571,74,52,1,13,2,0,42,295,31,96
1110,7,4184.19,1,3,5158,9549,9571,74,52,0,35,0,0,46,5363,298,4794
3522,12,5218.02,2,1,6637,6081,6092,194,0,3,0,0,19,3,4,0,6
3522,11,76.48,1,1,6637,6081,6092,194,0,0,3,0,2,7,105,4,29
599,12,7589.01,9,3,3305,9021,9029,59,7,0,0,0,0,14,278,21,49
599,11,15969.68,8,3,3305,9021,9029,59,7,0,0,0,0,0,0,0,0
599,10,30264.51,7,3,3305,9021,9029,59,7,0,0,0,0,6,133,5,36
599,9,215.33,6,3,3305,9021,9029,59,7,0,0,0,0,0,0,0,0
599,8,144,5,3,3305,9021,9029,59,7,0,0,0,0,0,0,0,0
599,7,1131.34,4,3,3305,9021,9029,59,7,0,0,0,0,0,0,0,0
599,6,0.2,3,3,3305,9021,9029,59,7,0,0,0,0,0,0,0,0
599,5,6.22,2,3,3305,9021,9029,59,7,1,0,0,0,0,0,0,0
599,4,111,1,3,3305,9021,9029,59,7,5,0,0,1,0,0,0,0
3414,12,10307.43,2,7,2435,2271,2277,65,5,92,0,0,20,44,42,30,5
3414,11,571.46,1,7,2435,2271,2277,65,5,132,0,6,39,4,12,0,5
1561,12,8212.04,5,7,295,8339,8342,29,43,0,0,0,0,0,0,0,0
1561,11,10887.38,4,7,295,8339,8342,29,43,0,0,0,0,1,25,0,11
1561,10,22411.62,3,7,295,8339,8342,29,43,0,0,0,0,3,28,2,7
1561,9,6292.83,2,7,295,8339,8342,29,43,0,0,0,0,1,46,0,23
1561,8,19121.42,1,7,295,8339,8342,29,43,0,0,0,0,10,272,9,43
899,12,4925.79,6,,,,,,,0,0,0,0,18,576,25,120
899,10,452.54,5,,,,,,,0,0,0,0,0,0,0,0
899,9,350.4,4,,,,,,,0,0,0,0,0,0,0,0
899,8,503.46,3,,,,,,,0,0,0,0,0,0,0,0
899,7,688.2,2,,,,,,,0,0,0,0,0,0,0,0
899,6,486,1,,,,,,,0,0,0,0,0,0,0,0
1805,12,4266.18,4,1,2698,4203,4215,115,66,0,0,0,0,6,65,8,20
1805,10,182.11,3,1,2698,4203,4215,115,66,0,0,0,0,7,78,6,15
1805,9,1227.11,2,1,2698,4203,4215,115,66,0,296,0,0,51,835,135,222
1805,8,2310.76,1,1,2698,4203,4215,115,66,0,197,0,0,37,503,47,115
2239,12,6739.99,4,1,965,1398,1412,0,27,0,0,0,0,108,5180,262,612
2239,11,1938.46,3,1,965,1398,1412,0,27,0,0,0,0,110,1828,228,306
2239,10,2113.57,2,1,965,1398,1412,0,27,1,0,0,0,0,0,0,0
2239,9,366.74,1,1,965,1398,1412,0,27,1,0,0,0,0,0,0,0
4287,12,6393.35,1,4,2410,2778,2814,248,83,4,0,0,0,54,407,80,97
2841,12,4185.07,3,6,3661,7833,7823,319,0,0,23,0,10,13,548,239,181
2841,11,395.21,2,6,3661,7833,7823,319,0,0,11,0,0,5,3189,878,2892
2841,10,4771.3,1,6,3661,7833,7823,319,0,0,14,0,4,6,189,3,15
331,12,5259.99,7,6,3236,8375,8326,61,28,0,0,0,0,26,253,49,101
331,10,16056.08,6,6,3236,8375,8326,61,28,0,0,0,0,15,119,9,21
331,9,20076.76,5,6,3236,8375,8326,61,28,0,0,0,0,18,372,36,59
331,8,45440.02,4,6,3236,8375,8326,61,28,0,0,0,0,16,370,31,66
331,6,44.09,3,6,3236,8375,8326,61,28,1,116,1,13,4,17,4,3
331,5,14.44,2,6,3236,8375,8326,61,28,4,12,0,0,1,2,1,0
331,4,115,1,6,3236,8375,8326,61,28,0,44,0,1,3,25,1,7
3224,12,4757.27,2,1,1401,5537,5558,211,3,12,29,0,12,58,2827,811,724
3224,11,38754.7,1,1,1401,5537,5558,211,3,12,48,2,9,58,428,140,79
3600,12,3377.08,2,6,1016,,,302,,4,14,0,0,16,210,22,52
3600,11,1909.18,1,6,1016,,,302,,0,0,0,0,11,30,10,4
4276,12,4455.87,1,,,,,,,39,24,0,9,30,4122,179,626
2979,12,19415.69,3,1,1353,994,1011,252,4,0,13,0,0,3,9,0,1
2979,11,187.96,2,1,1353,994,1011,252,4,0,14,0,0,0,0,0,0
2979,10,37.28,1,1,1353,994,1011,252,4,0,22,0,0,0,0,0,0
4232,12,5683.46,1,2,4011,,,0,,1,2,0,0,1,3,0,1
539,12,4285.45,8,2,4299,12416,12232,30,375,0,0,0,0,52,376,23,109
539,11,10840.58,7,2,4299,12416,12232,30,375,0,0,0,0,54,1142,149,414
539,10,11302.24,6,2,4299,12416,12232,30,375,0,0,0,0,51,382,29,109
539,9,14945.7,5,2,4299,12416,12232,30,375,0,0,0,0,41,548,29,205
539,8,23866.08,4,2,4299,12416,12232,30,375,0,0,0,0,12,133,3,38
539,7,5881.68,3,2,4299,12416,12232,30,375,5,3,6,90,38,585,39,138
539,6,3207.17,2,2,4299,12416,12232,30,375,1,0,0,1,16,171,10,73
539,5,7445.4,1,2,4299,12416,12232,30,375,2,0,1,17,27,300,26,104
3364,12,6377.8,2,3,2395,2776,2785,92,65,32,22,4,28,2,17,2,5
3364,11,7552.35,1,3,2395,2776,2785,92,65,34,57,4,95,7,87,15,26
213,12,3599.83,9,2,1901,1853,1844,389,69,0,0,0,0,34,198,5,95
213,11,1933.23,8,2,1901,1853,1844,389,69,0,0,0,0,20,342,10,109
213,10,550.23,7,2,1901,1853,1844,389,69,0,0,0,0,18,147,15,63
213,9,2754.88,6,2,1901,1853,1844,389,69,0,0,0,0,51,457,38,197
213,8,278.78,5,2,1901,1853,1844,389,69,0,0,0,0,5,51,5,7
213,7,147.79,4,2,1901,1853,1844,389,69,0,0,0,0,5,35,1,11
213,6,813.91,3,2,1901,1853,1844,389,69,5,190,1,26,16,67,6,10
213,5,1955.26,2,2,1901,1853,1844,389,69,3,106,0,19,17,89,4,18
213,4,911.71,1,2,1901,1853,1844,389,69,0,24,0,4,45,270,43,47
384,12,4573.34,8,2,1911,7356,7383,57,35,0,0,0,0,41,3315,438,596
384,11,10140.02,7,2,1911,7356,7383,57,35,0,0,0,0,25,532,36,68
384,10,23660.39,6,2,1911,7356,7383,57,35,0,0,0,0,32,2562,227,494
384,9,8438.67,5,2,1911,7356,7383,57,35,0,0,0,0,23,933,86,172
384,8,9821.62,4,2,1911,7356,7383,57,35,0,0,0,0,50,572,78,98
384,7,9035.75,3,2,1911,7356,7383,57,35,0,0,0,0,47,244,25,54
384,6,1357.74,2,2,1911,7356,7383,57,35,0,0,0,0,44,505,41,122
384,5,588.03,1,2,1911,7356,7383,57,35,0,0,0,0,17,100,6,41
1855,12,2704.98,4,4,2365,1430,1438,141,11,0,0,0,0,11,49,4,19
1855,11,1333.21,3,4,2365,1430,1438,141,11,3,0,8,28,12,38,11,16
1855,10,1691.53,2,4,2365,1430,1438,141,11,2,0,2,0,3,4,0,0
1855,9,369.62,1,4,2365,1430,1438,141,11,4,0,3,15,2,0,0,0
373,12,2374.61,9,4,2733,7742,7743,0,0,0,0,0,0,35,880,42,156
373,11,59980.35,8,4,2733,7742,7743,0,0,0,0,0,0,16,360,14,73
373,10,1123.98,7,4,2733,7742,7743,0,0,0,0,0,0,20,290,10,40
373,9,1624.14,6,4,2733,7742,7743,0,0,0,0,0,0,10,255,11,77
373,8,219.53,5,4,2733,7742,7743,0,0,0,0,0,0,24,104,19,29
373,7,149.94,4,4,2733,7742,7743,0,0,0,0,0,0,18,365,10,63
373,6,54.76,3,4,2733,7742,7743,0,0,3,8,1,7,10,68,5,29
373,5,104.79,2,4,2733,7742,7743,0,0,2,17,1,4,19,214,8,63
373,4,126.5,1,4,2733,7742,7743,0,0,16,305,0,19,14,203,7,64
403,12,2457.11,6,4,6934,1250,1263,330,37,0,0,0,0,0,0,0,0
403,11,11.19,5,4,6934,1250,1263,330,37,0,0,0,0,0,0,0,0
403,10,387.79,4,4,6934,1250,1263,330,37,0,0,0,0,0,0,0,0
403,8,1.51,3,4,6934,1250,1263,330,37,0,0,0,0,0,0,0,0
403,7,8.33,2,4,6934,1250,1263,330,37,0,0,0,0,0,0,0,0
403,6,396.18,1,4,6934,1250,1263,330,37,0,0,0,0,0,0,0,0
3501,12,2178,2,2,463,,,171,,0,0,0,0,0,0,0,0
3501,11,2342.64,1,2,463,,,171,,0,0,0,0,1,2,1,0
795,12,4638.8,7,9,2424,12416,12232,30,375,0,0,0,0,32,2358,561,412
795,11,3264.36,6,9,2424,12416,12232,30,375,0,0,0,0,21,962,138,354
795,10,8178.28,5,9,2424,12416,12232,30,375,0,0,0,0,16,233,7,52
795,9,4175.91,4,9,2424,12416,12232,30,375,0,0,0,0,15,336,13,149
795,8,5898.42,3,9,2424,12416,12232,30,375,0,0,0,0,12,118,3,29
795,7,2199.63,2,9,2424,12416,12232,30,375,0,0,0,0,6,24,3,5
795,6,5750.68,1,9,2424,12416,12232,30,375,0,0,0,0,1,2,0,0
4213,12,3411.88,1,1,2968,1576,1575,119,13,0,167,0,0,11,64,7,8
184,12,4055.9,9,3,3817,4648,4665,114,156,0,0,0,0,21,279,37,45
184,11,3417.97,8,3,3817,4648,4665,114,156,0,0,0,0,12,1673,5815,232
184,10,25987.94,7,3,3817,4648,4665,114,156,0,0,0,0,50,353,43,27
184,9,671.21,6,3,3817,4648,4665,114,156,0,0,0,0,23,28213,348,13857
184,8,1117.94,5,3,3817,4648,4665,114,156,0,0,0,0,30,250,27,37
184,7,3051.96,4,3,3817,4648,4665,114,156,0,0,0,0,34,150,32,21
184,6,952.05,3,3,3817,4648,4665,114,156,0,4,1,5,47,120,29,10
184,5,392.67,2,3,3817,4648,4665,114,156,1,3,0,0,29,109,9,21
184,4,3418.31,1,3,3817,4648,4665,114,156,3,15,0,0,38,285,39,39
37,12,1786.61,11,5,2515,14536,14564,7,0,0,0,0,0,24,1419,107,278
37,11,30410.69,10,5,2515,14536,14564,7,0,0,0,0,0,27,2932,171,901
37,10,28.84,9,5,2515,14536,14564,7,0,0,0,0,0,27,471,31,72
37,9,332.73,8,5,2515,14536,14564,7,0,0,0,0,0,43,1398,62,312
37,8,872.03,7,5,2515,14536,14564,7,0,0,0,0,0,9,149,7,25
37,7,465.48,6,5,2515,14536,14564,7,0,0,0,0,0,1,0,0,0
37,6,11.84,5,5,2515,14536,14564,7,0,0,0,0,0,4,3,2,0
37,4,357,4,5,2515,14536,14564,7,0,0,0,0,0,0,0,0,0
37,3,1126.97,3,5,2515,14536,14564,7,0,0,0,0,0,13,186,4,56
37,2,2467.28,2,5,2515,14536,14564,7,0,0,0,0,0,5,33,0,5
37,1,2309.02,1,5,2515,14536,14564,7,0,0,0,0,0,21,94,9,19
